,Name,name,typee,sector,country,joinnned_on
11698,,CAMELEON GROUP,Small or Medium-sized Enterprise,Media,France,2019-12-18
11699,,AIR SUPPORT,Small or Medium-sized Enterprise,Industrial metals and mining,France,2019-12-18
11700,,Adolf Würth GmbH & Co. KG,Company,Retailers,Germany,2019-12-18
11701,,LYNX SECURITE,Company,"Gas, Water & Multiutilities",France,2019-12-18
11702,,Projektengagemang Sweden AB,Company,Industrial Support Services,Sweden,2019-12-18
11703,,HEPPNER,Company,Industrial Transportation,France,2019-12-18
11704,,Licht + Technik Aachen GmbH,Small or Medium-sized Enterprise,Electronic & Electrical Equipment,Germany,2019-12-18
11705,,Réunion Air Sureté,Small or Medium-sized Enterprise,Industrial Support Services,France,2019-12-18
11706,,PlanBørnefonden,NGO Global,Not Applicable,Denmark,2019-12-18
11707,,AE Solar LLC,Small or Medium-sized Enterprise,Alternative Energy,Georgia,2019-12-17
11708,,Reformatics LLC,Small or Medium-sized Enterprise,Industrial Support Services,Georgia,2019-12-16
11709,,Health Industry Employers' Association of Turkey,Business Association Local,Not Applicable,Türkiye,2019-12-16
11710,,Deloitte Australia,Company,Industrial Support Services,Australia,2019-12-16
11711,,FUJIFILM Business Innovation Australia Pty Ltd,Company,Technology Hardware & Equipment,Australia,2019-12-16
11712,,CAOLINES DE VIMIANZO SAU (CAVISA),Small or Medium-sized Enterprise,Industrial metals and mining,Spain,2019-12-13
11713,,Scania del Perú,Company,Industrial Transportation,Peru,2019-12-13
11714,,NONWOVENS IBERICA,Small or Medium-sized Enterprise,Household Goods & Home Construction,Spain,2019-12-13
11715,,Centro Universitario de Jaguariuna - UniFAJ,Company,Diversified,Brazil,2019-12-13
11716,,Yara Brasil,Company,Diversified,Brazil,2019-12-13
11717,,Son of a Tailor ApS,Small or Medium-sized Enterprise,Personal Goods,Denmark,2019-12-13
11718,,L'Oréal Brasil,Company,Personal Goods,Brazil,2019-12-13
11719,,COLEGIO REGISTRAL IMOBILIARIO DE MINAS GERAIS - CORI-MG,Business Association Local,Not Applicable,Brazil,2019-12-12
11720,,Almap BBDO Publicidade e Comunicacoes Ltda,Company,Media,Brazil,2019-12-12
11721,,FUNDACAO DE ASSISTENCIA E PREVIDENCIA SOCIAL DO BNDES - FAPES,Foundation,Not Applicable,Brazil,2019-12-12
11722,,Petropavlovsk PLC,Company,Industrial metals and mining,Russian Federation,2019-12-12
11723,,Singtel Optus Pty Limited,Company,Telecommunications equipment; telecommunications service providers,Australia,2019-12-12
11724,,Aegean Exporters' Associations,Business Association Local,Not Applicable,Türkiye,2019-12-12
11725,,Transforma.aí,Small or Medium-sized Enterprise,Diversified,Brazil,2019-12-11
11726,,Gastrococina Sur SPA (Chili´s),Small or Medium-sized Enterprise,Food Producers,Chile,2019-12-11
11727,,Parque del Recuerdo,Company,Real Estate Investment & Services development,Chile,2019-12-11
11728,,ASN Senior Secondary School,Academic,Not Applicable,India,2019-12-11
11729,,BASF CHILE,Company,Diversified,Chile,2019-12-11
11730,,"EAP DRETA EIXAMPLE, S.L.P",Small or Medium-sized Enterprise,Medical equipment and services; Health care providers,Spain,2019-12-11
11731,,Wellspring Learning Community,Academic,Not Applicable,Lebanon,2019-12-11
11732,,SPIC Brasil,Small or Medium-sized Enterprise,Electricity,Brazil,2019-12-11
11733,,Sparta Corporate Solutions,Small or Medium-sized Enterprise,Diversified,Brazil,2019-12-11
11734,,Arauz & Advogados Associados,Small or Medium-sized Enterprise,Diversified,Brazil,2019-12-11
11735,,Enequip Serveis Integrals S.L.,Company,Diversified,Spain,2019-12-11
11736,,VIGILANCIA Y SEGURIDAD CELTAS LTDA,Company,Industrial Support Services,Colombia,2019-12-11
11737,,PJ Espana Pizzerias S.L.,Company,Retailers,Spain,2019-12-11
11738,,Atlanse,Small or Medium-sized Enterprise,Software & Computer Services,France,2019-12-11
11739,,RPRE (Singapore) Pte Ltd,Small or Medium-sized Enterprise,Alternative Energy,Singapore,2019-12-10
11740,,Hudson Belgium NV,Company,Diversified,Belgium,2019-12-09
11741,,PJSC Tatneft,Company,"Oil, gas, & coal",Russian Federation,2019-12-09
11742,,Ezon Berhad,Small or Medium-sized Enterprise,General Industrials,Malaysia,2019-12-09
11743,,Trablos First,NGO Local,Not Applicable,Lebanon,2019-12-09
11744,,AKADEMİ ÇEVRE ENTEGRE ATIK YÖNETİMİ ENDÜSTRİ A.Ş,Company,Industrial Support Services,Türkiye,2019-12-09
11745,,Qulix Systems,Company,Software & Computer Services,Belarus,2019-12-09
11746,,DP World,Company,Industrial Transportation,United Arab Emirates,2019-12-09
11747,,"Fu Jian Sunner Holdings Group Co., Ltd",Company,Retailers,China,2019-12-09
11748,,Tata Consultancy Services Australia,Company,Software & Computer Services,Australia,2019-12-09
11749,,TRE - Tribunal Regional Eleitoral do Parana,Public Sector Organization,Not Applicable,Brazil,2019-12-06
11750,,Corporacion Financiera Colombiana S.A.,Company,Financial Services,Colombia,2019-12-06
11751,,Comercializadora 2025,Small or Medium-sized Enterprise,Diversified,Mexico,2019-12-06
11752,,"GREEN CARSON, S. de R.L. de C.V.",Small or Medium-sized Enterprise,Industrial Support Services,Mexico,2019-12-06
11753,,"Grupo Valora Canarias, S.L.",Small or Medium-sized Enterprise,Diversified,Spain,2019-12-06
11754,,Representaciones Maritimas SA de CV,Company,Industrial Support Services,Mexico,2019-12-06
11755,,Ghidini Rodil,Small or Medium-sized Enterprise,Diversified,Argentina,2019-12-06
11756,,FALCONI CONSULTORES SA,Company,Diversified,Brazil,2019-12-06
11757,,Innopolis Foundation,Public Sector Organization,Not Applicable,"Korea, Republic of",2019-12-06
11758,,Korea Agency for Infrastructure Technology Advancement,Public Sector Organization,Not Applicable,"Korea, Republic of",2019-12-06
11759,,Dekkers Visual Communication b.v.,Small or Medium-sized Enterprise,Diversified,Netherlands,2019-12-05
11760,,Sopra Steria,Company,Software & Computer Services,Norway,2019-12-05
11761,,Hexatronic Group,Company,Technology Hardware & Equipment,Sweden,2019-12-05
11762,,PNZ-Produkte GmbH,Small or Medium-sized Enterprise,Construction & Materials,Germany,2019-12-05
11763,,Hoek Hoveniers,Small or Medium-sized Enterprise,Diversified,Netherlands,2019-12-05
11764,,Ethixbase 360 Private Limited,Small or Medium-sized Enterprise,Industrial Support Services,Singapore,2019-12-04
11765,,QNB Finansbank A.S.,Company,Banks,Türkiye,2019-12-04
11766,,NUTRITION & SANTE,Company,Food Producers,France,2019-12-03
11767,,Tibber AS,Small or Medium-sized Enterprise,Software & Computer Services,Norway,2019-12-03
11768,,EXPRESSIONS AROMATIQUES,Small or Medium-sized Enterprise,Chemicals,France,2019-12-03
11769,,VISEO,Company,Software & Computer Services,France,2019-12-03
11770,,Hi3G Access AB,Company,Not Applicable,Sweden,2019-12-03
11771,,ARDPI,Small or Medium-sized Enterprise,Industrial Engineering,France,2019-12-03
11772,,Schweizer Salinen AG,Small or Medium-sized Enterprise,Industrial metals and mining,Switzerland,2019-12-03
11773,,Hydrobox NV,Small or Medium-sized Enterprise,Alternative Energy,Belgium,2019-12-03
11774,,ALK-Abelló,Company,Pharmaceuticals & Biotechnology,Denmark,2019-12-03
11775,,Foundation for Advanced Studies on International Development,Public Sector Organization,Not Applicable,Japan,2019-12-02
11776,,Down Under Enterprises,Small or Medium-sized Enterprise,Personal Goods,Australia,2019-12-02
11777,,"Stichting Interkerkelijke Organisatie voor Ontwikkelingssamenwerking, ICCO Cooperation",NGO Global,Not Applicable,Bolivia,2019-11-29
11778,,Vena Energy,Company,Alternative Energy,Singapore,2019-11-27
11779,,Fincantieri S.p.A.,Company,General Industrials,Italy,2019-11-26
11780,,Uber do Brasil,Company,Software & Computer Services,Brazil,2019-11-25
